ativo,media_ult_ano,media_ult_sem,media_ult_tri,media_ult_mes,variacao_ano,variacao_sem,variacao_tri,variacao_mes
algodao,84.62753968253968,85.09927419354837,88.29587301587304,78.69095238095237,-8.26863182929494,-8.777130315542268,-12.079695971696923,-1.3482520529376416
acucar,23.957619047619048,22.37717741935484,21.274285714285714,19.575238095238095,-22.237681620321602,-16.74553206211687,-12.429492344883162,-4.828743796827874
cacau,5005.539682539683,6628.491935483871,8708.809523809523,10050.095238095239,62.79962834827444,22.938974344624192,-6.428083221696686,-18.91619127039782
cafe,179.68670634920636,196.26048387096776,203.85714285714286,220.99523809523802,11.527449120548216,2.1091949063744213,-1.695865451997196,-9.319313064276294
milho,483.6513944223108,444.2662601626016,431.3690476190476,442.32142857142856,-5.200314671345552,3.203875944166643,6.2894991030771425,3.6576503835284657
soja,1301.164342629482,1222.4430894308944,1172.6825396825398,1175.7619047619048,-7.352210592872301,-1.3860023077869563,2.7984948361509976,2.5292616742942724
suco de Laranja,342.51369047619045,364.61088709677415,370.2134920634921,381.1952380952381,18.0098814263594,10.857907512980596,9.180245632614376,6.034902749497192
trigo,598.6394422310757,581.2926829268292,568.1666666666666,592.3214285714286,11.96221844354895,15.303360886166248,17.967145790554422,13.156466686765153
